name,type,group
Jack Kerouac,member,poet
Keorapetse William Kgositsile,member,poet
Faye Kicknosway,member,poet
Ger Killeen,member,poet
Maurice Kilwein Guevara,member,poet
Myung Mi Kim,member,poet
Suji Kwock Kim,member,poet
James Kimbrell,member,poet
Galway Kinnell,member,poet
Thomas Kinsella,member,poet
Mary Kinzie,member,poet
Carolyn Kizer,member,poet
Peter Klappert,member,poet
Michael Klauke,member,poet
August Kleinzahler,member,poet
Irena Klepfisz,member,poet
Joanna Klink,member,poet
Etheridge Knight,member,poet
Bill Knott (Saint Geraud),member,poet
Christopher Knowles,member,poet
Caroline Knox,member,poet
Kenneth Koch,member,poet
Noelle Kocot,member,poet
Rodney Koeneke,member,poet
Phyllis Koestenbaum,member,poet
Jiří Kolář,member,poet
Sybil Kollar,member,poet
Yusef Komunyakaa,member,poet
Ted Kooser,member,poet
Richard Kostelanetz,member,poet
Joseph Kosuth,member,poet
Aaron Kramer,member,poet
Ferdinand Kriwet,member,poet
Judith Kroll,member,poet
Frances Kruk,member,poet
Maxine Kumin,member,poet
Stanley Kunitz,member,poet
Alex Kuo,member,poet
Kush,member,poet
Greg Kuzma,member,poet
Stephen Kwartler,member,poet
Joanne Kyger,member,poet
Gerry LaFemina,member,poet
Melvin Walker La Follette,member,poet
Oliver La Grone,member,poet
Joan LaBombard,member,poet
Philip Lamantia,member,poet
Art Lange,member,poet
Joseph Langland,member,poet
Philip Larkin,member,poet
Lance Larsen,member,poet
Grace Lake,member,poet
Paul Lake,member,poet
James Laughlin,member,poet
Ann Lauterbach,member,poet
Robert Layzer,member,poet
Sydney Lea,member,poet
Joseph Lease,member,poet
Katy Lederer,member,poet
Al Lee,member,poet
Li-Young Lee,member,poet
Barbara Lefcowitz,member,poet
David Lehman,member,poet
Leevi Lehto,member,poet
Brad Leithauser,member,poet
Ben Lerner,member,poet
Cy Leslie,member,poet
Rika Lesser,member,poet
Julius Lester,member,poet
Meridel LeSueur,member,poet
Denise Levertov,member,poet
Dana Levin,member,poet
Phillis Levin,member,poet
Philip Levine,member,poet
Mark Levine,member,poet
Fred Levinson,member,poet
Larry Levis,member,poet
Janet Lewis,member,poet
John L'Heureux,member,poet
Elizabeth Libbey,member,poet
Lyn Lifshin,member,poet
Kate Light,member,poet
Fatimah Lim-Wilson,member,poet
Frank Lima,member,poet
Tan Lin,member,poet
Frans van der Linde,member,poet
Linyatta (Doris Turner),member,poet
Lou Lipsitz,member,poet
Francesca Lisette,member,poet
Beth Lisick,member,poet
Timothy Liu,member,poet
David Llorens,member,poet
Reginald Lockett,member,poet
Ron Loewinsohn,member,poet
John Logan,member,poet
William Logan,member,poet
Dana Teen Lomax,member,poet
M. Loncar,member,poet
Joel Long,member,poet
Worth Long,member,poet
Michael Longley,member,poet
Arrigo Lora-Totino,member,poet
Audre Lorde,member,poet
Adrian C. Louis,member,poet
Trisha Low,member,poet
Amy Lowell,member,poet
Robert Lowell,member,poet
Bill Luoma,member,poet
James R. Lucas,member,poet
"Ludvigson, Susan",member,poet
Thomas Lux,member,poet
K. Curtis Lyle,member,poet
Karen Mac Cormack,member,poet
Jackson Mac Low,member,poet
Lewis MacAdams,member,poet
Rory Macbeth,member,poet
Cynthia MacDonald,member,poet
Jon Mack,member,poet
Mary Mackey,member,poet
Nathaniel Mackey,member,poet
Kathryn MacLeod,member,poet
Naomi Long Madgett,member,poet
Michael Magee,member,poet
Margo Magid,member,poet
Derek Mahon,member,poet
Clarence Major,member,poet
Joseph Major,member,poet
Gerald Malanga,member,poet
Stéphane Mallarmé,member,poet
Nayo (Barbara Malcolm),member,poet
Donato Mancini,member,poet
Tom Mandel,member,poet
Maurice Manning,member,poet
Peter Manson,member,poet
Morton Marcus,member,poet
Paul Mariani,member,poet
Malinda Markham,member,poet
Sabrina Orah Mark,member,poet
Corey Marks,member,poet
Peter Markus,member,poet
David Marlatt,member,poet
Stephanie Marlis,member,poet
D. S. Marriott,member,poet
Jack Marshall,member,poet
Edward Marshall,member,poet
Charles Martin,member,poet
Dionisio D. Martínez,member,poet
Valerie Martínez,member,poet
Marvin X (Marvin E. Jackmon),member,poet
Donna Masini,member,poet
David Mason,member,poet
John Mason,member,poet
William Matchett,member,poet
Harry Mathews,member,poet
Cleopatra Mathis,member,poet
Shigeru Matsui,member,poet
Khaled Mattawa,member,poet
William Matthews,member,poet
Richard Maxfield,member,poet
Ellyn Maybe,member,poet
Bernadette Mayer,member,poet
Hansjörg Mayer,member,poet
Sophie Mayer,member,poet
Curtis Mayfield,member,poet
Jane Mayhall,member,poet
E. L. Mayo,member,poet
"McBride, Mekeel",member,poet
Angela McCabe,member,poet
Steve McCaffery,member,poet
Shara McCallum,member,poet
Cavan McCarthy,member,poet
Gerald McCarthy,member,poet
J. D. McClatchy,member,poet
Michael McClure,member,poet
Judith McCombs,member,poet
Howard McCord,member,poet
Jeffrey McDaniel,member,poet
Colleen J. McElroy,member,poet
David McElroy,member,poet
Phyllis McGinley,member,poet
Campbell McGrath,member,poet
Thomas McGrath,member,poet
Medbh McGuckian,member,poet
Heather McHugh,member,poet
Patricia McIlnay,member,poet
Leslie Anne Mcilroy,member,poet
Claude McKay,member,poet
Elizabeth McKim,member,poet
Paula McLain,member,poet
Stephen McLaughlin,member,poet
James McMichael,member,poet
Mark McMorris,member,poet
Sandra McPherson,member,poet
Joyelle McSweeney,member,poet
Peter Meinke,member,poet
David Melnick,member,poet
Richard Meltzer,member,poet
David Meltzer,member,poet
William Meredith,member,poet
Eve Merriam,member,poet
James Merrill,member,poet
Constance Merritt,member,poet
W. S. Merwin,member,poet
Sharon Mesmer,member,poet
Sarah Messer,member,poet
Douglas Messerli,member,poet
Deena Metzger,member,poet
June Meyer,member,poet
Robert Mezey,member,poet
James Michie,member,poet
Christof Migone,member,poet
Josephine Miles,member,poet
Edna St. Vincent Millay,member,poet
Adam David Miller,member,poet
Jane Miller,member,poet
Vassar Miller,member,poet
Tomoko Minami,member,poet
Carol Mirakove,member,poet
Gary Miranda,member,poet
Ernie Mkalimoto,member,poet
Judith Moffett,member,poet
K. Silem Mohammad,member,poet
N. Scott Momaday,member,poet
Franz Mon,member,poet
Paul Monette,member,poet
Geraldine Monk,member,poet
Leslie Monsour,member,poet
Honor Moore,member,poet
Marianne Moore,member,poet
